DEBUG - 2014-12-04 17:50:38.976; [qtp524450165-18] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 202/202
DEBUG - 2014-12-04 17:50:38.977; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/update on BlockingHttpConnection@734b3df7,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=2,c=50},r=1
DEBUG - 2014-12-04 17:50:38.977; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/webapps/solr.war
DEBUG - 2014-12-04 17:50:38.977; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/webapps/solr.war
DEBUG - 2014-12-04 17:50:38.977; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@79dea16c
DEBUG - 2014-12-04 17:50:38.977; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2014-12-04 17:50:38.978; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/update|null -> default
DEBUG - 2014-12-04 17:50:38.978; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2014-12-04 17:50:38.978; [qtp524450165-18 - /solr/update?commit=true] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
TRACE - 2014-12-04 17:50:38.978; [qtp524450165-18 - /solr/update?commit=true] org.apache.solr.handler.loader.XMLLoader.load(XMLLoader.java:167); body
TRACE - 2014-12-04 17:50:38.979; [qtp524450165-18 - /solr/update?commit=true] org.apache.solr.handler.loader.XMLLoader.processUpdate(XMLLoader.java:277); parsing delete
DEBUG - 2014-12-04 17:50:38.979; [qtp524450165-18 - /solr/update?commit=true] org.apache.solr.update.processor.LogUpdateProcessor.processDelete(LogUpdateProcessorFactory.java:120); PRE_UPDATE delete{,query=`id:F8V7067-APL-KIT`,commitWithin=-1} {{params(commit=true),defaults(wt=xml)}}
DEBUG - 2014-12-04 17:50:38.979; [qtp524450165-18 - /solr/update?commit=true] org.apache.solr.update.SolrCmdDistributor.submit(SolrCmdDistributor.java:230); sending update to http://192.168.196.141:8983/solr/collection1/ retry:0 delete{,query=`id:F8V7067-APL-KIT`,commitWithin=-1} params:update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F
DEBUG - 2014-12-04 17:50:38.980; [qtp524450165-18 - /solr/update?commit=true] org.apache.solr.update.SolrCmdDistributor.submit(SolrCmdDistributor.java:230); sending update to http://192.168.196.141:8984/solr/collection1/ retry:0 delete{,query=`id:F8V7067-APL-KIT`,commitWithin=-1} params:update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F
DEBUG - 2014-12-04 17:50:38.980; [updateExecutor-1-thread-8] org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner.run(ConcurrentUpdateSolrServer.java:153); starting runner: org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner@b185a1c
DEBUG - 2014-12-04 17:50:38.980; [qtp524450165-18 - /solr/update?commit=true] org.apache.solr.update.processor.LogUpdateProcessor.processCommit(LogUpdateProcessorFactory.java:156); PRE_UPDATE commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false} {{params(commit=true),defaults(wt=xml)}}
DEBUG - 2014-12-04 17:50:38.980; [updateExecutor-1-thread-9] org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner.run(ConcurrentUpdateSolrServer.java:153); starting runner: org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner@400d0551
DEBUG - 2014-12-04 17:50:38.980; [updateExecutor-1-thread-8] org.apache.http.impl.conn.PoolingClientConnectionManager.requestConnection(PoolingClientConnectionManager.java:182); Connection request: [route: {}->http://192.168.196.141:8983][total kept alive: 4; route allocated: 1 of 100; total allocated: 4 of 10000]
DEBUG - 2014-12-04 17:50:38.981; [updateExecutor-1-thread-9] org.apache.http.impl.conn.PoolingClientConnectionManager.requestConnection(PoolingClientConnectionManager.java:182); Connection request: [route: {}->http://192.168.196.141:8984][total kept alive: 3; route allocated: 1 of 100; total allocated: 4 of 10000]
DEBUG - 2014-12-04 17:50:38.981; [updateExecutor-1-thread-8] org.apache.http.impl.conn.PoolingClientConnectionManager.leaseConnection(PoolingClientConnectionManager.java:214); Connection leased: [id: 1][route: {}->http://192.168.196.141:8983][total kept alive: 3; route allocated: 1 of 100; total allocated: 4 of 10000]
DEBUG - 2014-12-04 17:50:38.981; [updateExecutor-1-thread-8] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:431); Stale connection check
DEBUG - 2014-12-04 17:50:38.981; [updateExecutor-1-thread-9] org.apache.http.impl.conn.PoolingClientConnectionManager.leaseConnection(PoolingClientConnectionManager.java:214); Connection leased: [id: 3][route: {}->http://192.168.196.141:8984][total kept alive: 2; route allocated: 1 of 100; total allocated: 4 of 10000]
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-8] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:433); Stale connection detected
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-9] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:431); Stale connection check
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.close(DefaultClientConnection.java:176); Connection 0.0.0.0:50552<->192.168.196.141:8983 closed
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-9] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:433); Stale connection detected
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:175); Connecting to 192.168.196.141:8983
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.close(DefaultClientConnection.java:176); Connection 0.0.0.0:50550<->192.168.196.141:8984 closed
DEBUG - 2014-12-04 17:50:38.982; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:175); Connecting to 192.168.196.141:8984
DEBUG - 2014-12-04 17:50:38.983; [updateExecutor-1-thread-8] org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122); CookieSpec selected: best-match
DEBUG - 2014-12-04 17:50:38.983; [updateExecutor-1-thread-9] org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122); CookieSpec selected: best-match
DEBUG - 2014-12-04 17:50:38.983; [updateExecutor-1-thread-8] org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:75); Auth cache not set in the context
DEBUG - 2014-12-04 17:50:38.983; [updateExecutor-1-thread-9] org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:75); Auth cache not set in the context
DEBUG - 2014-12-04 17:50:38.983; [updateExecutor-1-thread-8] org.apache.http.client.protocol.RequestTargetAuthentication.process(RequestTargetAuthentication.java:78); Target auth state: UNCHALLENGED
DEBUG - 2014-12-04 17:50:38.983; [updateExecutor-1-thread-9] org.apache.http.client.protocol.RequestTargetAuthentication.process(RequestTargetAuthentication.java:78); Target auth state: UNCHALLENGED
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-9] org.apache.http.client.protocol.RequestProxyAuthentication.process(RequestProxyAuthentication.java:87); Proxy auth state: UNCHALLENGED
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.client.protocol.RequestProxyAuthentication.process(RequestProxyAuthentication.java:87); Proxy auth state: UNCHALLENGED
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-9] org.apache.http.impl.client.DefaultRequestDirector.tryExecute(DefaultRequestDirector.java:680); Attempt 1 to execute request
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.client.DefaultRequestDirector.tryExecute(DefaultRequestDirector.java:680); Attempt 1 to execute request
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-9] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:268); Sending request: POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:268); Sending request: POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1[\r][\n]"
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1[\r][\n]"
DEBUG - 2014-12-04 17:50:38.984; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "User-Agent: Solr[org.apache.solr.client.solrj.impl.HttpSolrServer] 1.0[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "User-Agent: Solr[org.apache.solr.client.solrj.impl.HttpSolrServer] 1.0[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Content-Type: application/javabin[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Content-Type: application/javabin[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Transfer-Encoding: chunked[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Transfer-Encoding: chunked[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Host: 192.168.196.141:8984[\r][\n]"
DEBUG - 2014-12-04 17:50:38.985; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Host: 192.168.196.141:8983[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Connection: Keep-Alive[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-9] org.apache.http.impl.conn.Wire.wire(Wire.java:72);  >> "Connection: Keep-Alive[\r][\n]"
DEBUG - 2014-12-04 17:50:38.986; [updateExecutor-1-thread-8] org.apache.http.impl.conn.DefaultClientConnection.sendRequestHeader(DefaultClientConnection.java:272); >> POST /solr/collection1/update?update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F&wt=javabin&version=2 HTTP/1.1
