
DEBUG - 2014-12-04 17:12:46.437; [qtp524450165-15] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 176/176
DEBUG - 2014-12-04 17:12:46.439; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/update on BlockingHttpConnection@5de1beea,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=12,c=2130},r=1
DEBUG - 2014-12-04 17:12:46.439; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/webapps/solr.war
DEBUG - 2014-12-04 17:12:46.439; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8985/example/webapps/solr.war
DEBUG - 2014-12-04 17:12:46.439; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@79dea16c
DEBUG - 2014-12-04 17:12:46.440; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2014-12-04 17:12:46.440; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/update|null -> default
DEBUG - 2014-12-04 17:12:46.440; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2014-12-04 17:12:46.440; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
DEBUG - 2014-12-04 17:12:46.441; [qtp524450165-15 - /solr/update?commit=true] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 2130/2130
TRACE - 2014-12-04 17:12:46.441; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.handler.loader.XMLLoader.load(XMLLoader.java:167); body
TRACE - 2014-12-04 17:12:46.442; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.handler.loader.XMLLoader.processUpdate(XMLLoader.java:222); SolrCore.update(add)
TRACE - 2014-12-04 17:12:46.442; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.handler.loader.XMLLoader.processUpdate(XMLLoader.java:244); adding doc...
DEBUG - 2014-12-04 17:12:46.443; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.update.processor.LogUpdateProcessor.processAdd(LogUpdateProcessorFactory.java:97); PRE_UPDATE add{,id=F8V7067-APL-KIT} {{params(commit=true),defaults(wt=xml)}}
DEBUG - 2014-12-04 17:12:46.443; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.update.SolrCmdDistributor.submit(SolrCmdDistributor.java:230); sending update to http://192.168.196.141:8984/solr/collection1/ retry:0 add{,id=F8V7067-APL-KIT} params:update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F
TRACE - 2014-12-04 17:12:46.444; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.handler.loader.XMLLoader.processUpdate(XMLLoader.java:244); adding doc...
DEBUG - 2014-12-04 17:12:46.444; [updateExecutor-1-thread-2] org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner.run(ConcurrentUpdateSolrServer.java:153); starting runner: org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner@295b89f9
DEBUG - 2014-12-04 17:12:46.444; [updateExecutor-1-thread-2] org.apache.http.impl.conn.PoolingClientConnectionManager.requestConnection(PoolingClientConnectionManager.java:182); Connection request: [route: {}->http://192.168.196.141:8984][total kept alive: 2; route allocated: 1 of 100; total allocated: 2 of 10000]
DEBUG - 2014-12-04 17:12:46.444; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.update.processor.LogUpdateProcessor.processAdd(LogUpdateProcessorFactory.java:97); PRE_UPDATE add{,id=IW-02} {{params(commit=true),defaults(wt=xml)}}
DEBUG - 2014-12-04 17:12:46.444; [updateExecutor-1-thread-2] org.apache.http.impl.conn.PoolingClientConnectionManager.leaseConnection(PoolingClientConnectionManager.java:214); Connection leased: [id: 3][route: {}->http://192.168.196.141:8984][total kept alive: 1; route allocated: 1 of 100; total allocated: 2 of 10000]
DEBUG - 2014-12-04 17:12:46.445; [updateExecutor-1-thread-2] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:431); Stale connection check
DEBUG - 2014-12-04 17:12:46.445; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.update.SolrCmdDistributor.submit(SolrCmdDistributor.java:230); sending update to http://192.168.196.141:8983/solr/collection1/ retry:0 add{,id=IW-02} params:update.distrib=TOLEADER&distrib.from=http%3A%2F%2F192.168.196.141%3A8985%2Fsolr%2Fcollection1%2F
DEBUG - 2014-12-04 17:12:46.445; [updateExecutor-1-thread-2] org.apache.http.impl.client.DefaultRequestDirector.execute(DefaultRequestDirector.java:433); Stale connection detected
DEBUG - 2014-12-04 17:12:46.445; [updateExecutor-1-thread-2] org.apache.http.impl.conn.DefaultClientConnection.close(DefaultClientConnection.java:176); Connection 0.0.0.0:49484<->192.168.196.141:8984 closed
DEBUG - 2014-12-04 17:12:46.445; [updateExecutor-1-thread-2] org.apache.http.impl.conn.DefaultClientConnectionOperator.openConnection(DefaultClientConnectionOperator.java:175); Connecting to 192.168.196.141:8984
DEBUG - 2014-12-04 17:12:46.445; [updateExecutor-1-thread-3] org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner.run(ConcurrentUpdateSolrServer.java:153); starting runner: org.apache.solr.client.solrj.impl.ConcurrentUpdateSolrServer$Runner@43e611b1
DEBUG - 2014-12-04 17:12:46.446; [qtp524450165-15 - /solr/update?commit=true] org.apache.solr.update.processor.LogUpdateProcessor.processCommit(LogUpdateProcessorFactory.java:156); PRE_UPDATE commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false} {{params(commit=true),defaults(wt=xml)}}
