
DEBUG - 2014-12-05 11:34:51.673; [qtp1161035867-14] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 164/164
DEBUG - 2014-12-05 11:34:51.674; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/update on BlockingHttpConnection@406a400c,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=12,c=2297},r=1
DEBUG - 2014-12-05 11:34:51.674; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8983/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8983/example/webapps/solr.war
DEBUG - 2014-12-05 11:34:51.675; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8983/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8983/example/webapps/solr.war
DEBUG - 2014-12-05 11:34:51.675; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@64c8ace6
DEBUG - 2014-12-05 11:34:51.675; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2014-12-05 11:34:51.675; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/update|null -> default
DEBUG - 2014-12-05 11:34:51.676; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2014-12-05 11:34:51.676; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
DEBUG - 2014-12-05 11:34:51.677; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.commons.fileupload.FileUploadBase from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.677; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.commons.fileupload.FileUpload from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.678; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.commons.fileupload.servlet.ServletFileUpload from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.678; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.commons.fileupload.FileUploadBase$FileUploadIOException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.679; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.commons.fileupload.FileUploadException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.679; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.commons.fileupload.FileUploadBase$IOFileUploadException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.679; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.commons.fileupload.RequestContext from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.680; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.commons.fileupload.FileItemHeaders from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.680; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded interface org.apache.commons.fileupload.FileItemIterator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.681; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.solr.servlet.SolrRequestParsers$HttpRequestContentStream from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.683; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:409); loaded class java.io.SequenceInputStream
DEBUG - 2014-12-05 11:34:51.683; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class java.io.SequenceInputStream from null
DEBUG - 2014-12-05 11:34:51.683; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 2297/2297
TRACE - 2014-12-05 11:34:51.683; [qtp1161035867-14 - /solr/update] org.apache.solr.handler.loader.XMLLoader.load(XMLLoader.java:167); body
DEBUG - 2014-12-05 11:34:51.684; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxParsingException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.684; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxUnexpectedCharException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.685; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:409); loaded class java.io.CharConversionException
DEBUG - 2014-12-05 11:34:51.685; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class java.io.CharConversionException from null
DEBUG - 2014-12-05 11:34:51.690; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.exc.WstxEOFException from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.691; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.BaseReader from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 11:34:51.691; [qtp1161035867-14 - /solr/update] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.ctc.wstx.io.UTF8Reader from WebAppClassLoader=323656156@134a99dc
