
DEBUG - 2014-12-05 11:40:03.223; [qtp14214026-15] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 541/541
DEBUG - 2014-12-05 11:40:03.224; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/collection1/update on BlockingHttpConnection@266d1cf1,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=6,l=10,c=-2},r=1
DEBUG - 2014-12-05 11:40:03.224; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/collection1/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2014-12-05 11:40:03.225; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/collection1/update @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2014-12-05 11:40:03.225; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@706788ad
DEBUG - 2014-12-05 11:40:03.225; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2014-12-05 11:40:03.225; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/collection1/update|null -> default
DEBUG - 2014-12-05 11:40:03.225; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2014-12-05 11:40:03.225; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
DEBUG - 2014-12-05 11:40:03.226; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.apache.solr.update.processor.LogUpdateProcessor.processDelete(LogUpdateProcessorFactory.java:120); PRE_UPDATE delete{,query=`id:SP2514N`,commitWithin=-1} {distrib.from=http://192.168.196.17:8983/solr/collection1/&update.distrib=FROMLEADER&_version_=-1486619466139697152&wt=javabin&version=2}
DEBUG - 2014-12-05 11:40:03.227; [qtp14214026-15 - /solr/collection1/update?_version_=-1486619466139697152&update.distrib=FROMLEADER&distrib.from=http%3A%2F%2F192.168.196.17%3A8983%2Fsolr%2Fcollection1%2F&wt=javabin&version=2] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.queries.function.ValueSource$ValueSourceSortField from WebAppClassLoader=1155033168@44d86850
