
DEBUG - 2014-12-05 09:45:08.156; [qtp1161035867-11] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 524/524
DEBUG - 2014-12-05 09:45:08.157; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/collection1/select on BlockingHttpConnection@374eb126,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=10,c=250},r=1
DEBUG - 2014-12-05 09:45:08.157; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/collection1/select @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2014-12-05 09:45:08.157; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/collection1/select @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-2-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2014-12-05 09:45:08.157; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@60277ae1
DEBUG - 2014-12-05 09:45:08.157; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2014-12-05 09:45:08.158; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/collection1/select|null -> default
DEBUG - 2014-12-05 09:45:08.158; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2014-12-05 09:45:08.158; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
DEBUG - 2014-12-05 09:45:08.159; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.solr.search.QueryParsing$StrParser from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.161; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.DocIdSetIterator$1 from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.162; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.util.InPlaceMergeSorter from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.163; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.solr.handler.component.QueryComponent$1 from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.164; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$RelevanceComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.166; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$DocComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.167; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$NumericComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.168; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$IntComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.168; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$FloatComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.190; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$LongComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.191; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$DoubleComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.193; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$ByteComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.194; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$ShortComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.195; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$TermOrdValComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.196; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.FieldComparator$TermValComparator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.197; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.SortField$Type from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.197; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.SortField$1 from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.238; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.search.SortField$2 from WebAppClassLoader=323656156@134a99dc
INFO  - 2014-12-05 09:45:08.239; [qtp1161035867-11 - /solr/collection1/select] org.apache.solr.core.SolrCore.execute(SolrCore.java:1920); [collection1] webapp=/solr path=/select params={NOW=1417743908138&shard.url=http://192.168.196.17:8984/solr/collection1/|http://192.168.196.17:8986/solr/collection1/&fl=id,score&df=text&start=0&q=*:*&distrib=false&wt=javabin&isShard=true&fsv=true&version=2&rows=10} hits=2 status=0 QTime=80 
DEBUG - 2014-12-05 09:45:08.240; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.solr.response.transform.TransformContext from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.241; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.document.LazyDocument from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.241; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.index.ReaderUtil from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.242; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.util.packed.PackedInts$ReaderIteratorImpl from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.243; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.util.packed.PackedReaderIterator from WebAppClassLoader=323656156@134a99dc
DEBUG - 2014-12-05 09:45:08.243; [qtp1161035867-11 - /solr/collection1/select] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class org.apache.lucene.util.LongsRef from WebAppClassLoader=323656156@134a99dc
