INFO  - 2014-07-23 11:01:34.262; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 11:01:34.263; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.servlet.FilterConfig
DEBUG - 2014-07-23 11:01:34.264; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.servlet.FilterConfig from startJarLoader@53ad085
DEBUG - 2014-07-23 11:01:34.277; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.lucene.analysis.util.ResourceLoader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.277; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.solr.common.ResourceLoader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.278; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.core.SolrResourceLoader from WebAppClassLoader=1598675078@5f49d886
DEBUG - 2014-07-23 11:01:34.278; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.List
DEBUG - 2014-07-23 11:01:34.279; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.List from null
DEBUG - 2014-07-23 11:01:34.280; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.ClassLoader
DEBUG - 2014-07-23 11:01:34.280; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.ClassLoader from null
DEBUG - 2014-07-23 11:01:34.281; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URLClassLoader
DEBUG - 2014-07-23 11:01:34.281; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URLClassLoader from null
DEBUG - 2014-07-23 11:01:34.282; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.IllegalArgumentException
DEBUG - 2014-07-23 11:01:34.283; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.IllegalArgumentException from null
DEBUG - 2014-07-23 11:01:34.284; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.lang.CharSequence
DEBUG - 2014-07-23 11:01:34.284; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.lang.CharSequence from null
DEBUG - 2014-07-23 11:01:34.286; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NoInitialContextException
DEBUG - 2014-07-23 11:01:34.286; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NoInitialContextException from null
DEBUG - 2014-07-23 11:01:34.287; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NamingException
DEBUG - 2014-07-23 11:01:34.287; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NamingException from null
DEBUG - 2014-07-23 11:01:34.289; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.naming.Context
DEBUG - 2014-07-23 11:01:34.289; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.naming.Context from null
DEBUG - 2014-07-23 11:01:34.290; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.MalformedURLException
DEBUG - 2014-07-23 11:01:34.290; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.MalformedURLException from null
DEBUG - 2014-07-23 11:01:34.291; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileInputStream
DEBUG - 2014-07-23 11:01:34.292; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileInputStream from null
DEBUG - 2014-07-23 11:01:34.293; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.nio.charset.CharacterCodingException
DEBUG - 2014-07-23 11:01:34.293; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.nio.charset.CharacterCodingException from null
