INFO  - 2014-07-23 13:12:20.346; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
DEBUG - 2014-07-23 13:12:20.348; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.servlet.FilterConfig
DEBUG - 2014-07-23 13:12:20.349; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.servlet.FilterConfig from startJarLoader@584fce71
DEBUG - 2014-07-23 13:12:20.370; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.lucene.analysis.util.ResourceLoader from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.370; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.solr.common.ResourceLoader from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.371; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.core.SolrResourceLoader from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.372; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.List
DEBUG - 2014-07-23 13:12:20.372; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.util.List from null
DEBUG - 2014-07-23 13:12:20.373; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.ClassLoader
DEBUG - 2014-07-23 13:12:20.373; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.ClassLoader from null
DEBUG - 2014-07-23 13:12:20.374; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URLClassLoader
DEBUG - 2014-07-23 13:12:20.374; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.URLClassLoader from null
DEBUG - 2014-07-23 13:12:20.375; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.IllegalArgumentException
DEBUG - 2014-07-23 13:12:20.375; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.IllegalArgumentException from null
DEBUG - 2014-07-23 13:12:20.376; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.lang.CharSequence
DEBUG - 2014-07-23 13:12:20.376; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface java.lang.CharSequence from null
DEBUG - 2014-07-23 13:12:20.377; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NoInitialContextException
DEBUG - 2014-07-23 13:12:20.378; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NoInitialContextException from null
DEBUG - 2014-07-23 13:12:20.378; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NamingException
DEBUG - 2014-07-23 13:12:20.379; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class javax.naming.NamingException from null
DEBUG - 2014-07-23 13:12:20.379; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.naming.Context
DEBUG - 2014-07-23 13:12:20.380; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface javax.naming.Context from null
DEBUG - 2014-07-23 13:12:20.380; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.MalformedURLException
DEBUG - 2014-07-23 13:12:20.381; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.net.MalformedURLException from null
DEBUG - 2014-07-23 13:12:20.381; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileInputStream
DEBUG - 2014-07-23 13:12:20.382; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.io.FileInputStream from null
DEBUG - 2014-07-23 13:12:20.383; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.nio.charset.CharacterCodingException
DEBUG - 2014-07-23 13:12:20.383; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.nio.charset.CharacterCodingException from null
DEBUG - 2014-07-23 13:12:20.384; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.String
DEBUG - 2014-07-23 13:12:20.384; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.lang.String from null
DEBUG - 2014-07-23 13:12:20.385; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.regex.Pattern
DEBUG - 2014-07-23 13:12:20.386; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.regex.Pattern from null
DEBUG - 2014-07-23 13:12:20.390; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.HashMap
DEBUG - 2014-07-23 13:12:20.391; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class java.util.HashMap from null
DEBUG - 2014-07-23 13:12:20.396; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.solr.util.plugin.SolrCoreAware from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.402; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.solr.util.plugin.NamedListInitializedPlugin from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.404; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.core.CodecFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.409; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.schema.IndexSchemaFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.410; org.eclipse.jetty.webapp.WebAppClassLoader; loaded class org.apache.solr.schema.ManagedIndexSchemaFactory from WebAppClassLoader=1545595021@5c1fe88d
DEBUG - 2014-07-23 13:12:20.411; org.eclipse.jetty.webapp.WebAppClassLoader; loaded interface org.apache.solr.response.QueryResponseWriter from WebAppClassLoader=1545595021@5c1fe88d
