INFO  - 2014-07-23 13:12:20.346; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-07-23 13:12:20.437; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-07-23 13:12:20.439; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx
INFO  - 2014-07-23 13:12:20.449; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/'
INFO  - 2014-07-23 13:12:21.428; org.apache.solr.core.ConfigSolr; Loading container configuration from /vagrant/projects/work/search-cloud/cloud/7804/server/bin/../../idx/solr.xml
DEBUG - 2014-07-23 13:12:21.667; org.apache.solr.core.Config; null missing optional solr/cores
DEBUG - 2014-07-23 13:12:21.679; org.apache.solr.core.Config; null missing optional solr/@coreLoadThreads
DEBUG - 2014-07-23 13:12:21.686; org.apache.solr.core.Config; null missing optional solr/@persistent
DEBUG - 2014-07-23 13:12:21.692; org.apache.solr.core.Config; null missing optional solr/@sharedLib
DEBUG - 2014-07-23 13:12:21.698; org.apache.solr.core.Config; null missing optional solr/@zkHost
DEBUG - 2014-07-23 13:12:21.704; org.apache.solr.core.Config; null missing optional solr/logging/@class
DEBUG - 2014-07-23 13:12:21.715; org.apache.solr.core.Config; null missing optional solr/logging/@enabled
DEBUG - 2014-07-23 13:12:21.727; org.apache.solr.core.Config; null missing optional solr/logging/watcher/@size
DEBUG - 2014-07-23 13:12:21.733; org.apache.solr.core.Config; null missing optional solr/logging/watcher/@threshold
DEBUG - 2014-07-23 13:12:21.740; org.apache.solr.core.Config; null missing optional solr/cores/@adminHandler
DEBUG - 2014-07-23 13:12:21.745; org.apache.solr.core.Config; null missing optional solr/cores/@distribUpdateConnTimeout
DEBUG - 2014-07-23 13:12:21.749; org.apache.solr.core.Config; null missing optional solr/cores/@distribUpdateSoTimeout
DEBUG - 2014-07-23 13:12:21.755; org.apache.solr.core.Config; null missing optional solr/cores/@host
DEBUG - 2014-07-23 13:12:21.769; org.apache.solr.core.Config; null missing optional solr/cores/@hostContext
DEBUG - 2014-07-23 13:12:21.778; org.apache.solr.core.Config; null missing optional solr/cores/@hostPort
DEBUG - 2014-07-23 13:12:21.784; org.apache.solr.core.Config; null missing optional solr/cores/@leaderVoteWait
DEBUG - 2014-07-23 13:12:21.792; org.apache.solr.core.Config; null missing optional solr/cores/@leaderConflictResolveWait
DEBUG - 2014-07-23 13:12:21.798; org.apache.solr.core.Config; null missing optional solr/cores/@genericCoreNodeNames
DEBUG - 2014-07-23 13:12:21.803; org.apache.solr.core.Config; null missing optional solr/cores/@managementPath
DEBUG - 2014-07-23 13:12:21.813; org.apache.solr.core.Config; null missing optional solr/cores/@shareSchema
DEBUG - 2014-07-23 13:12:21.825; org.apache.solr.core.Config; null missing optional solr/cores/@transientCacheSize
DEBUG - 2014-07-23 13:12:21.833; org.apache.solr.core.Config; null missing optional solr/cores/@zkClientTimeout
DEBUG - 2014-07-23 13:12:21.839; org.apache.solr.core.Config; null missing optional solr/cores/@defaultCoreName
DEBUG - 2014-07-23 13:12:21.846; org.apache.solr.core.Config; null missing optional solr/@persistent
DEBUG - 2014-07-23 13:12:21.851; org.apache.solr.core.Config; null missing optional solr/cores/@adminPath
DEBUG - 2014-07-23 13:12:21.867; org.apache.solr.core.Config; null missing optional solr/str[@name='adminHandler']
DEBUG - 2014-07-23 13:12:21.878; org.apache.solr.core.Config; null missing optional solr/str[@name='collectionsHandler']
DEBUG - 2014-07-23 13:12:21.886; org.apache.solr.core.Config; null missing optional solr/str[@name='infoHandler']
DEBUG - 2014-07-23 13:12:21.893; org.apache.solr.core.Config; null missing optional solr/int[@name='coreLoadThreads']
DEBUG - 2014-07-23 13:12:21.900; org.apache.solr.core.Config; null missing optional solr/str[@name='coreRootDirectory']
DEBUG - 2014-07-23 13:12:21.908; org.apache.solr.core.Config; null missing optional solr/solrcloud/int[@name='distribUpdateConnTimeout']
DEBUG - 2014-07-23 13:12:21.923; org.apache.solr.core.Config; null missing optional solr/solrcloud/int[@name='distribUpdateSoTimeout']
DEBUG - 2014-07-23 13:12:21.931; org.apache.solr.core.Config; null missing optional solr/solrcloud/int[@name='maxUpdateConnections']
DEBUG - 2014-07-23 13:12:21.937; org.apache.solr.core.Config; null missing optional solr/solrcloud/int[@name='maxUpdateConnectionsPerHost']
TRACE - 2014-07-23 13:12:21.945; org.apache.solr.core.Config; null:solr/solrcloud/str[@name='host']=[str: null]
DEBUG - 2014-07-23 13:12:21.949; org.apache.solr.core.Config; null solr/solrcloud/str[@name='host']=${host:}
TRACE - 2014-07-23 13:12:21.957; org.apache.solr.core.Config; null:solr/solrcloud/str[@name='hostContext']=[str: null]
DEBUG - 2014-07-23 13:12:21.957; org.apache.solr.core.Config; null solr/solrcloud/str[@name='hostContext']=${hostContext:solr}
