
INFO  - 2015-02-12 11:40:20.707; [main-EventThread] org.apache.solr.common.cloud.ZkStateReader$2.process(ZkStateReader.java:257); A cluster state change: WatchedEvent state:SyncConnected type:NodeDataChanged path:/clusterstate.json, has occurred - updating... (live nodes size: 2)
DEBUG - 2015-02-12 11:40:20.803; [qtp524450165-15] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 436/436
DEBUG - 2015-02-12 11:40:20.804; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/admin/cores on BlockingHttpConnection@701c2917,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=10,c=169},r=1
DEBUG - 2015-02-12 11:40:20.804; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/admin/cores @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2015-02-12 11:40:20.804; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/admin/cores @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2015-02-12 11:40:20.804; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@6bd124c4
DEBUG - 2015-02-12 11:40:20.804; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2015-02-12 11:40:20.805; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/admin/cores|null -> default
DEBUG - 2015-02-12 11:40:20.805; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2015-02-12 11:40:20.805; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
DEBUG - 2015-02-12 11:40:20.806; [qtp524450165-15 - /solr/admin/cores] org.eclipse.jetty.webapp.WebAppClassLoader.loadClass(WebAppClassLoader.java:439); loaded class com.google.common.collect.ImmutableMapKeySet$1 from WebAppClassLoader=2036261936@795ee430
DEBUG - 2015-02-12 11:40:20.807; [qtp524450165-19] org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:281); filled 436/436
INFO  - 2015-02-12 11:40:20.808; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.cloud.ZkController.publish(ZkController.java:1034); publishing core=collection2_shard1_replica1 state=down collection=collection2
DEBUG - 2015-02-12 11:40:20.808; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.server.Server.handle(Server.java:363); REQUEST /solr/admin/cores on BlockingHttpConnection@63169fe0,g=HttpGenerator{s=0,h=-1,b=-1,c=-1},p=HttpParser{s=2,l=10,c=169},r=1
DEBUG - 2015-02-12 11:40:20.808; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:931); scope null||/solr/admin/cores @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2015-02-12 11:40:20.808; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1003); context=/solr||/admin/cores @ o.e.j.w.WebAppContext{/solr,file:/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/solr-webapp/webapp/},/Users/zlq/Servers/solr/solr-4.7.2-cloud-1-shard-2-replica/solr-4.7.2-8984/example/webapps/solr.war
DEBUG - 2015-02-12 11:40:20.809; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:187); sessionManager=org.eclipse.jetty.server.session.HashSessionManager@6bd124c4
DEBUG - 2015-02-12 11:40:20.809; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:188); session=null
DEBUG - 2015-02-12 11:40:20.809; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:370); servlet /solr|/admin/cores|null -> default
DEBUG - 2015-02-12 11:40:20.809; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:432); chain=SolrRequestFilter->default
DEBUG - 2015-02-12 11:40:20.809; [qtp524450165-19 - /solr/admin/cores] org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1416); call filter SolrRequestFilter
INFO  - 2015-02-12 11:40:20.810; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.cloud.ZkController.publish(ZkController.java:1034); publishing core=collection2_shard2_replica1 state=down collection=collection2
INFO  - 2015-02-12 11:40:20.810; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.cloud.ZkController.waitForCoreNodeName(ZkController.java:1270); look for our core node name
INFO  - 2015-02-12 11:40:20.812; [qtp524450165-19 - /solr/admin/cores] org.apache.solr.cloud.ZkController.waitForCoreNodeName(ZkController.java:1270); look for our core node name
INFO  - 2015-02-12 11:40:20.930; [main-EventThread] org.apache.solr.common.cloud.ZkStateReader$2.process(ZkStateReader.java:257); A cluster state change: WatchedEvent state:SyncConnected type:NodeDataChanged path:/clusterstate.json, has occurred - updating... (live nodes size: 2)
INFO  - 2015-02-12 11:40:21.815; [qtp524450165-15 - /solr/admin/cores] org.apache.solr.cloud.ZkController.waitForShardId(ZkController.java:1303); waiting to find shard id in clusterstate for collection2_shard1_replica1
