货币名称	现汇买入价	现钞买入价	现汇卖出价	现钞卖出价	中行折算价	发布日期	发布时间
澳大利亚元	479.05	464.26	482.41	482.41	475.15	2015-06-14	05:30:00
巴西里亚尔		192.78		210.85	200.81	2015-06-14	05:30:00
加拿大元	502.31	486.8	506.35	506.35	497.7	2015-06-14	05:30:00
瑞士法郎	666.32	645.73	673.02	673.02	665.04	2015-06-14	05:30:00
丹麦克朗	93.41	90.53	94.17	94.17	93.64	2015-06-14	05:30:00
欧元	696.24	674.72	703.24	703.24	689.63	2015-06-14	05:30:00
英镑	963.73	933.99	970.49	970.49	951.27	2015-06-14	05:30:00
港币	79.91	79.27	80.21	80.21	78.9	2015-06-14	05:30:00
印尼卢比		0.045		0.0482	0.0466	2015-06-14	05:30:00
日元	5.0159	4.8611	5.0511	5.0511	4.9682	2015-06-14	05:30:00
韩国元		0.5379		0.5833	0.5593	2015-06-14	05:30:00
澳门元	77.72	75.11	78.01	80.51	77.78	2015-06-14	05:30:00
林吉特	164.54		165.7		165.87	2015-06-14	05:30:00
挪威克朗	80.07	77.6	80.71	80.71	79.13	2015-06-14	05:30:00
新西兰元	431.91	418.59	434.95	437.55	430.32	2015-06-14	05:30:00
菲律宾比索	13.68	13.25	13.78	14.21	13.73	2015-06-14	05:30:00
卢布	11.28	10.59	11.38	11.38	11.31	2015-06-14	05:30:00
瑞典克朗	75.7	73.36	76.3	76.3	75.61	2015-06-14	05:30:00
新加坡元	460.41	446.21	463.65	463.65	456.52	2015-06-14	05:30:00
泰国铢	18.36	17.79	18.5	19.07	18.42	2015-06-14	05:30:00
新台币		19.4		20.8	20.09	2015-06-14	05:30:00
美元	619.54	614.57	622.02	622.02	611.67	2015-06-14	05:30:00
